type,name,file,line,citation,source,priority,note
file,lib/features/plant_intelligence/data/datasources/plant_intelligence_remote_datasource.dart,lib/features/plant_intelligence/data/datasources/plant_intelligence_remote_datasource.dart,,12†lib/features/plant_intelligence/data/datasources/plant_intelligence_remote_datasource.dart,unreferenced_files,high,
file,lib/features/plant_intelligence/data/migration/multi_garden_migration.dart,lib/features/plant_intelligence/data/migration/multi_garden_migration.dart,,12†lib/features/plant_intelligence/data/migration/multi_garden_migration.dart,unreferenced_files,high,
file,lib/features/plant_intelligence/domain/entities/intelligent_suggestion.dart,lib/features/plant_intelligence/domain/entities/intelligent_suggestion.dart,,12†lib/features/plant_intelligence/domain/entities/intelligent_suggestion.dart,unreferenced_files,high,
file,lib/features/plant_intelligence/domain/models/plant_health_status.dart,lib/features/plant_intelligence/domain/models/plant_health_status.dart,,12†lib/features/plant_intelligence/domain/models/plant_health_status.dart,unreferenced_files,high,
file,lib/features/plant_intelligence/domain/services/plant_evolution_tracker_service.dart,lib/features/plant_intelligence/domain/services/plant_evolution_tracker_service.dart,,12†lib/features/plant_intelligence/domain/services/plant_evolution_tracker_service.dart,unreferenced_files,high,
file,lib/features/plant_intelligence/presentation/providers/garden_context_sync_provider.dart,lib/features/plant_intelligence/presentation/providers/garden_context_sync_provider.dart,,12†lib/features/plant_intelligence/presentation/providers/garden_context_sync_provider.dart,unreferenced_files,high,
file,lib/features/plant_intelligence/presentation/providers/garden_intelligence_providers.dart,lib/features/plant_intelligence/presentation/providers/garden_intelligence_providers.dart,,12†lib/features/plant_intelligence/presentation/providers/garden_intelligence_providers.dart,unreferenced_files,high,
file,lib/features/plant_intelligence/presentation/providers/plant_intelligence_ui_providers.dart,lib/features/plant_intelligence/presentation/providers/plant_intelligence_ui_providers.dart,,12†lib/features/plant_intelligence/presentation/providers/plant_intelligence_ui_providers.dart,unreferenced_files,high,
file,lib/features/plant_intelligence/presentation/screens/intelligence_settings_screen.dart,lib/features/plant_intelligence/presentation/screens/intelligence_settings_screen.dart,,12†lib/features/plant_intelligence/presentation/screens/intelligence_settings_screen.dart,unreferenced_files,high,
file,lib/features/plant_intelligence/presentation/screens/plant_intelligence_dashboard_simple.dart,lib/features/plant_intelligence/presentation/screens/plant_intelligence_dashboard_simple.dart,,12†lib/features/plant_intelligence/presentation/screens/plant_intelligence_dashboard_simple.dart,unreferenced_files,high,
file,lib/features/plant_intelligence/presentation/screens/recommendations_simple.dart,lib/features/plant_intelligence/presentation/screens/recommendations_simple.dart,,12†lib/features/plant_intelligence/presentation/screens/recommendations_simple.dart,unreferenced_files,high,
file,lib/features/plant_intelligence/presentation/widgets/indicators/condition_indicator.dart,lib/features/plant_intelligence/presentation/widgets/indicators/condition_indicator.dart,,12†lib/features/plant_intelligence/presentation/widgets/indicators/condition_indicator.dart,unreferenced_files,high,
file,lib/features/plant_intelligence/presentation/widgets/indicators/optimal_timing_widget.dart,lib/features/plant_intelligence/presentation/widgets/indicators/optimal_timing_widget.dart,,12†lib/features/plant_intelligence/presentation/widgets/indicators/optimal_timing_widget.dart,unreferenced_files,high,
file,lib/features/plant_intelligence/presentation/widgets/indicators/plant_health_indicator.dart,lib/features/plant_intelligence/presentation/widgets/indicators/plant_health_indicator.dart,,12†lib/features/plant_intelligence/presentation/widgets/indicators/plant_health_indicator.dart,unreferenced_files,high,
file,lib/features/plant_intelligence/presentation/widgets/summaries/garden_overview_widget.dart,lib/features/plant_intelligence/presentation/widgets/summaries/garden_overview_widget.dart,,12†lib/features/plant_intelligence/presentation/widgets/summaries/garden_overview_widget.dart,unreferenced_files,high,
file,lib/features/plant_intelligence/presentation/widgets/summaries/intelligence_summary.dart,lib/features/plant_intelligence/presentation/widgets/summaries/intelligence_summary.dart,,12†lib/features/plant_intelligence/presentation/widgets/summaries/intelligence_summary.dart,unreferenced_files,high,
file,lib/features/statistics/presentation/widgets/placeholders/alignment_gauge_placeholder.dart,lib/features/statistics/presentation/widgets/placeholders/alignment_gauge_placeholder.dart,,12†lib/features/statistics/presentation/widgets/placeholders/alignment_gauge_placeholder.dart,unreferenced_files,medium,likely placeholder/demo
file,lib/features/statistics/presentation/widgets/placeholders/finance_bubble_placeholder.dart,lib/features/statistics/presentation/widgets/placeholders/finance_bubble_placeholder.dart,,12†lib/features/statistics/presentation/widgets/placeholders/finance_bubble_placeholder.dart,unreferenced_files,medium,likely placeholder/demo
file,lib/features/statistics/presentation/widgets/placeholders/health_donut_placeholder.dart,lib/features/statistics/presentation/widgets/placeholders/health_donut_placeholder.dart,,12†lib/features/statistics/presentation/widgets/placeholders/health_donut_placeholder.dart,unreferenced_files,medium,likely placeholder/demo
file,lib/features/statistics/presentation/widgets/placeholders/performance_bar_placeholder.dart,lib/features/statistics/presentation/widgets/placeholders/performance_bar_placeholder.dart,,12†lib/features/statistics/presentation/widgets/placeholders/performance_bar_placeholder.dart,unreferenced_files,medium,likely placeholder/demo
file,lib/features/statistics/presentation/widgets/statistics_pillars_list.dart,lib/features/statistics/presentation/widgets/statistics_pillars_list.dart,,12†lib/features/statistics/presentation/widgets/statistics_pillars_list.dart,unreferenced_files,medium,
file,lib/shared/presentation/widgets/settings/calibration_settings_section.dart,lib/shared/presentation/widgets/settings/calibration_settings_section.dart,,12†lib/shared/presentation/widgets/settings/calibration_settings_section.dart,unreferenced_files,medium,
file,lib/shared/presentation/widgets/settings/garden_settings_section.dart,lib/shared/presentation/widgets/settings/garden_settings_section.dart,,12†lib/shared/presentation/widgets/settings/garden_settings_section.dart,unreferenced_files,medium,
file,lib/shared/presentation/widgets/weather_bubble_widget.dart,lib/shared/presentation/widgets/weather_bubble_widget.dart,,12†lib/shared/presentation/widgets/weather_bubble_widget.dart,unreferenced_files,medium,
file,lib/shared/utils/calibration_utils.dart,lib/shared/utils/calibration_utils.dart,,12†lib/shared/utils/calibration_utils.dart,unreferenced_files,medium,
file,lib/shared/widgets/activity_item.dart,lib/shared/widgets/activity_item.dart,,12†lib/shared/widgets/activity_item.dart,unreferenced_files,low,
file,lib/shared/widgets/calibration_debug_overlay.dart,lib/shared/widgets/calibration_debug_overlay.dart,,12†lib/shared/widgets/calibration_debug_overlay.dart,unreferenced_files,low,
file,lib/shared/widgets/organic_calibratable_zone.dart,lib/shared/widgets/organic_calibratable_zone.dart,,12†lib/shared/widgets/organic_calibratable_zone.dart,unreferenced_files,low,
file,lib/shared/widgets/recent_activities_widget.dart,lib/shared/widgets/recent_activities_widget.dart,,12†lib/shared/widgets/recent_activities_widget.dart,unreferenced_files,low,
file,lib/shared/widgets/size_slider_picker.dart,lib/shared/widgets/size_slider_picker.dart,,12†lib/shared/widgets/size_slider_picker.dart,unreferenced_files,low,
file,lib/shared/widgets/weather_bubble.dart,lib/shared/widgets/weather_bubble.dart,,12†lib/shared/widgets/weather_bubble.dart,unreferenced_files,low,
provider,dataMigrationProvider,core/di/garden_module.dart,126,12†core\di\garden_module.dart:126,orphan_providers,medium,
provider,isMigrationNeededProvider,core/di/garden_module.dart,140,12†core\di\garden_module.dart:140,orphan_providers,medium,
provider,plantDataSourceProvider,core/di/intelligence_module.dart,81,12†core\di\intelligence_module.dart:81,orphan_providers,high,
provider,hasNewFeaturesProvider,core/feature_flags.dart,95,12†core\feature_flags.dart:95,orphan_providers,medium,
provider,gardenCalibrationEnabledProvider,core/models/calibration_state.dart,65,12†core\models\calibration_state.dart:65,orphan_providers,high,
provider,activityTrackerV3Provider,core/providers/activity_tracker_v3_provider.dart,6,12†core\providers\activity_tracker_v3_provider.dart:6,orphan_providers,medium,
provider,activityCountProvider,core/providers/activity_tracker_v3_provider.dart,75,12†core\providers\activity_tracker_v3_provider.dart:75,orphan_providers,medium,
provider,activityTrackerInitializedProvider,core/providers/activity_tracker_v3_provider.dart,81,12†core\providers\activity_tracker_v3_provider.dart:81,orphan_providers,medium,
provider,legacyDataAdapterProvider,core/providers/garden_aggregation_providers.dart,19,12†core\providers\garden_aggregation_providers.dart:19,orphan_providers,medium,
provider,modernDataAdapterProvider,core/providers/garden_aggregation_providers.dart,24,12†core\providers\garden_aggregation_providers.dart:24,orphan_providers,medium,
provider,dataConsistencyManagerProvider,core/providers/garden_aggregation_providers.dart,58,12†core\providers\garden_aggregation_providers.dart:58,orphan_providers,medium,
provider,plantByIdProvider,core/providers/garden_aggregation_providers.dart,116,12†core\providers\garden_aggregation_providers.dart:116,orphan_providers,medium,
provider,clearHubCacheProvider,core/providers/garden_aggregation_providers.dart,185,12†core\providers\garden_aggregation_providers.dart:185,orphan_providers,medium,
provider,migrationOrchestratorProvider,core/services/migration/migration_orchestrator.dart,914,12†core\services\migration\migration_orchestrator.dart:914,orphan_providers,high,
provider,weatherHaloControllerProvider,features/climate/presentation/anim/weather_halo_controller.dart,117,12†features\climate\presentation\anim\weather_halo_controller.dart:117,orphan_providers,medium,
provider,weatherHaloColorStreamProvider,features/climate/presentation/anim/weather_halo_controller.dart,128,12†features\climate\presentation\anim\weather_halo_controller.dart:128,orphan_providers,medium,
provider,needsDailyUpdateProvider,features/climate/presentation/providers/daily_update_provider.dart,145,12†features\climate\presentation\providers\daily_update_provider.dart:145,orphan_providers,medium,
provider,dailyUpdateStatusProvider,features/climate/presentation/providers/daily_update_provider.dart,154,12†features\climate\presentation\providers\daily_update_provider.dart:154,orphan_providers,medium,
provider,currentHourPhaseProvider,features/climate/presentation/providers/hourly_weather_provider.dart,154,12†features\climate\presentation\providers\hourly_weather_provider.dart:154,orphan_providers,medium,
provider,activePlantsProvider,features/climate/presentation/providers/weather_alert_provider.dart,43,12†features\climate\presentation\providers\weather_alert_provider.dart:43,orphan_providers,medium,
provider,activeAlertsCountProvider,features/climate/presentation/providers/weather_alert_provider.dart,76,12†features\climate\presentation\providers\weather_alert_provider.dart:76,orphan_providers,medium,
provider,alertsProvider,features/climate/presentation/providers/weather_providers.dart,332,12†features\climate\presentation\providers\weather_providers.dart:332,orphan_providers,medium,
provider,alertCountProvider,features/climate/presentation/providers/weather_providers.dart,489,12†features\climate\presentation\providers\weather_providers.dart:489,orphan_providers,medium,
provider,forecastAvailableProvider,features/climate/presentation/providers/weather_providers.dart,505,12†features\climate\presentation\providers\weather_providers.dart:505,orphan_providers,medium,
provider,forecastDaysCountProvider,features/climate/presentation/providers/weather_providers.dart,513,12†features\climate\presentation\providers\weather_providers.dart:513,orphan_providers,medium,
provider,weatherDataFreshProvider,features/climate/presentation/providers/weather_providers.dart,530,12†features\climate\presentation\providers\weather_providers.dart:530,orphan_providers,medium,
provider,canAddGardenProvider,features/garden/providers/garden_provider.dart,219,12†features\garden\providers\garden_provider.dart:219,orphan_providers,medium,
provider,activeGardensCountProvider,features/garden/providers/garden_provider.dart,226,12†features\garden\providers\garden_provider.dart:226,orphan_providers,medium,
provider,selectedGardenBedProvider,features/garden_bed/providers/garden_bed_provider.dart,321,12†features\garden_bed\providers\garden_bed_provider.dart:321,orphan_providers,medium,
provider,gardenBedLoadingProvider,features/garden_bed/providers/garden_bed_provider.dart,325,12†features\garden_bed\providers\garden_bed_provider.dart:325,orphan_providers,medium,
provider,gardenBedErrorProvider,features/garden_bed/providers/garden_bed_provider.dart,329,12†features\garden_bed\providers\garden_bed_provider.dart:329,orphan_providers,medium,
provider,gardenBedByIdProvider,features/garden_bed/providers/garden_bed_provider.dart,370,12†features\garden_bed\providers\garden_bed_provider.dart:370,orphan_providers,medium,
provider,gardensListProvider,features/garden_management/providers/garden_management_provider.dart,14,12†features\garden_management\providers\garden_management_provider.dart:14,orphan_providers,medium,
provider,germinationServiceProvider,features/planting/providers/germination_provider.dart,9,12†features\planting\providers\germination_provider.dart:9,orphan_providers,medium,
provider,activeGerminationEventsProvider,features/planting/providers/germination_provider.dart,177,12†features\planting\providers\germination_provider.dart:177,orphan_providers,medium,
provider,germinationEventsCountProvider,features/planting/providers/germination_provider.dart,187,12†features\planting\providers\germination_provider.dart:187,orphan_providers,medium,
provider,recentGerminationEventsProvider,features/planting/providers/germination_provider.dart,193,12†features\planting\providers\germination_provider.dart:193,orphan_providers,medium,
provider,selectedPlantingProvider,features/planting/providers/planting_provider.dart,567,12†features\planting\providers\planting_provider.dart:567,orphan_providers,medium,
provider,plantingErrorProvider,features/planting/providers/planting_provider.dart,575,12†features\planting\providers\planting_provider.dart:575,orphan_providers,medium,
provider,overduePlantingsProvider,features/planting/providers/planting_provider.dart,638,12†features\planting\providers\planting_provider.dart:638,orphan_providers,medium,
provider,selectedPlantProvider,features/plant_catalog/providers/plant_catalog_provider.dart,223,12†features\plant_catalog\providers\plant_catalog_provider.dart:223,orphan_providers,medium,
provider,plantCatalogLoadingProvider,features/plant_catalog/providers/plant_catalog_provider.dart,227,12†features\plant_catalog\providers\plant_catalog_provider.dart:227,orphan_providers,medium,
provider,plantCatalogErrorProvider,features/plant_catalog/providers/plant_catalog_provider.dart,231,12†features\plant_catalog\providers\plant_catalog_provider.dart:231,orphan_providers,medium,
provider,notificationStreamProvider,features/plant_intelligence/presentation/providers/notification_providers.dart,16,12†features\plant_intelligence\presentation\providers\notification_providers.dart:16,orphan_providers,high,
provider,unreadNotificationCountStreamProvider,features/plant_intelligence/presentation/providers/notification_providers.dart,22,12†features\plant_intelligence\presentation\providers\notification_providers.dart:22,orphan_providers,high,
provider,notificationsEnabledProvider,features/plant_intelligence/presentation/providers/notification_providers.dart,96,12†features\plant_intelligence\presentation\providers\notification_providers.dart:96,orphan_providers,high,
provider,createNotificationProvider,features/plant_intelligence/presentation/providers/notification_providers.dart,351,12†features\plant_intelligence\presentation\providers\notification_providers.dart:351,orphan_providers,high,
provider,analyzePlantConditionsOnlyProvider,features/plant_intelligence/presentation/providers/plant_intelligence_providers.dart,208,12†features\plant_intelligence\presentation\providers\plant_intelligence_providers.dart:208,orphan_providers,high,
provider,weatherImpactAnalyzerProvider,features/plant_intelligence/presentation/providers/plant_intelligence_providers.dart,236,12†features\plant_intelligence\presentation\providers\plant_intelligence_providers.dart:236,orphan_providers,high,
provider,plantIntelligenceHealthProvider,features/plant_intelligence/presentation/providers/plant_intelligence_providers.dart,268,12†features\plant_intelligence\presentation\providers\plant_intelligence_providers.dart:268,orphan_providers,high,
provider,plantRecommendationsByPriorityProvider,features/plant_intelligence/presentation/providers/plant_intelligence_providers.dart,303,12†features\plant_intelligence\presentation\providers\plant_intelligence_providers.dart:303,orphan_providers,high,
provider,repositoryConfigProvider,features/plant_intelligence/presentation/providers/plant_intelligence_providers.dart,736,12†features\plant_intelligence\presentation\providers\plant_intelligence_providers.dart:736,orphan_providers,high,
provider,performanceSeasonalKpiProvider,features/statistics/application/providers/performance/performance_comparison_provider.dart,116,12†features\statistics\application\providers\performance\performance_comparison_provider.dart:116,orphan_providers,medium,
provider,totalEconomyKpiAsyncProvider,features/statistics/application/providers/statistics_kpi_providers.dart,51,12†features\statistics\application\providers\statistics_kpi_providers.dart:51,orphan_providers,medium,
symbol,expectedTotal,lib/app_initializer.dart,346,12†lib\app_initializer.dart:346,unused_symbols,medium,export missing
symbol,actualTotal,lib/app_initializer.dart,347,12†lib\app_initializer.dart:347,unused_symbols,medium,export missing
symbol,firstPlant,lib/app_initializer.dart,366,12†lib\app_initializer.dart:366,unused_symbols,medium,export missing
symbol,hasPlantingSeason,lib/app_initializer.dart,374,12†lib\app_initializer.dart:374,unused_symbols,medium,export missing
symbol,UIAnalyticsContext,lib/core/analytics/ui_analytics.dart,230,12†lib\core\analytics\ui_analytics.dart:230,unused_symbols,medium,export missing
symbol,logUIEvent,lib/core/analytics/ui_analytics.dart,232,12†lib\core\analytics\ui_analytics.dart:232,unused_symbols,medium,export missing
symbol,currentStoredVersion,lib/core/data/hive/data_migration_service.dart,16,12†lib\core\data\hive\data_migration_service.dart:16,unused_symbols,high,export missing
symbol,boxesToClean,lib/core/data/hive/data_migration_service.dart,99,12†lib\core\data\hive\data_migration_service.dart:99,unused_symbols,high,export missing
symbol,bedsToDelete,lib/core/data/hive/garden_boxes.dart,85,12†lib\core\data\hive\garden_boxes.dart:85,unused_symbols,high,export missing
symbol,plantingsToDelete,lib/core/data/hive/garden_boxes.dart,94,12†lib\core\data\hive\garden_boxes.dart:94,unused_symbols,high,export missing
symbol,filteredBeds,lib/core/data/hive/garden_boxes.dart,108,12†lib\core\data\hive\garden_boxes.dart:108,unused_symbols,high,export missing
symbol,closeAllBoxes,lib/core/data/hive/hive_service.dart,60,12†lib\core\data\hive\hive_service.dart:60,unused_symbols,high,export missing
symbol,boxNames,lib/core/data/hive/hive_service.dart,63,12†lib\core\data\hive\hive_service.dart:63,unused_symbols,high,export missing
symbol,varietiesToDelete,lib/core/data/hive/plant_boxes.dart,89,12†lib\core\data\hive\plant_boxes.dart:89,unused_symbols,high,export missing
symbol,cyclesToDelete,lib/core/data/hive/plant_boxes.dart,99,12†lib\core\data\hive\plant_boxes.dart:99,unused_symbols,high,export missing
symbol,integrityCheck,lib/core/data/migration/garden_data_migration.dart,107,12†lib\core\data\migration\garden_data_migration.dart:107,unused_symbols,high,export missing
symbol,backupBoxName,lib/core/data/migration/garden_data_migration.dart,421,12†lib\core\data\migration\garden_data_migration.dart:421,unused_symbols,high,export missing
symbol,boxesToDelete,lib/core/data/migration/garden_data_migration.dart,502,12†lib\core\data\migration\garden_data_migration.dart:502,unused_symbols,high,export missing
symbol,printMigrationStats,lib/core/data/migration/garden_data_migration.dart,586,12†lib\core\data\migration\garden_data_migration.dart:586,unused_symbols,high,export missing
symbol,GardenMigrationResult,lib/core/data/migration/garden_data_migration.dart,637,12†lib\core\data\migration\garden_data_migration.dart:637,unused_symbols,high,export missing
symbol,hasLegacy,lib/core/di/garden_module.dart,148,12†lib\core\di\garden_module.dart:148,unused_symbols,medium,export missing
symbol,hasV2,lib/core/di/garden_module.dart,149,12†lib\core\di\garden_module.dart:149,unused_symbols,medium,export missing
symbol,hasHive,lib/core/di/garden_module.dart,150,12†lib\core\di\garden_module.dart:150,unused_symbols,medium,export missing
symbol,freezedBox,lib/core/di/garden_module.dart,176,12†lib\core\di\garden_module.dart:176,unused_symbols,medium,export missing
symbol,freezedCount,lib/core/di/garden_module.dart,182,12†lib\core\di\garden_module.dart:182,unused_symbols,medium,export missing
symbol,GardenModuleExtensions,lib/core/di/garden_module.dart,204,12†lib\core\di\garden_module.dart:204,unused_symbols,medium,export missing
symbol,BiologicalControlExtensions,lib/core/di/intelligence_module.dart,383,12†lib\core\di\intelligence_module.dart:383,unused_symbols,high,export missing
symbol,IntelligenceModuleExtensions,lib/core/di/intelligence_module.dart,411,12†lib\core\di\intelligence_module.dart:411,unused_symbols,high,export missing
symbol,InvalidPlantDataException,lib/core/errors/plant_exceptions.dart,84,12†lib\core\errors\plant_exceptions.dart:84,unused_symbols,medium,export missing
symbol,FeatureFlags,lib/core/feature_flags.dart,14,12†lib\core\feature_flags.dart:14,unused_symbols,medium,export missing
symbol,CalibrationState,lib/core/models/calibration_state.dart,15,12†lib\core\models\calibration_state.dart:15,unused_symbols,high,export missing
symbol,CalibrationStateNotifier,lib/core/models/calibration_state.dart,28,12†lib\core\models\calibration_state.dart:28,unused_symbols,high,export missing
symbol,markAsModified,lib/core/models/calibration_state.dart,52,12†lib\core\models\calibration_state.dart:52,unused_symbols,high,export missing
symbol,addPlanting,lib/core/models/garden_bed_hive.dart,85,12†lib\core\models\garden_bed_hive.dart:85,unused_symbols,high,export missing
symbol,removePlanting,lib/core/models/garden_bed_hive.dart,91,12†lib\core\models\garden_bed_hive.dart:91,unused_symbols,high,export missing
symbol,GardenFreezedExtension,lib/core/models/garden_freezed.dart,50,12†lib\core\models\garden_freezed.dart:50,unused_symbols,high,export missing
symbol,addGardenBed,lib/core/models/garden_hive.dart,138,12†lib\core\models\garden_hive.dart:138,unused_symbols,high,export missing
symbol,removeGardenBed,lib/core/models/garden_hive.dart,150,12†lib\core\models\garden_hive.dart:150,unused_symbols,high,export missing
symbol,updatedBeds,lib/core/models/garden_hive.dart,151,12†lib\core\models\garden_hive.dart:151,unused_symbols,high,export missing
symbol,addCareInstruction,lib/core/models/growth_cycle.dart,75,12†lib\core\models\growth_cycle.dart:75,unused_symbols,high,export missing
symbol,isCurrentPhase,lib/core/models/growth_cycle.dart,95,12†lib\core\models\growth_cycle.dart:95,unused_symbols,high,export missing
symbol,hasStarted,lib/core/models/growth_cycle.dart,99,12†lib\core\models\growth_cycle.dart:99,unused_symbols,high,export missing
symbol,hasEnded,lib/core/models/growth_cycle.dart,103,12†lib\core\models\growth_cycle.dart:103,unused_symbols,high,export missing
symbol,daysRemaining,lib/core/models/growth_cycle.dart,107,12†lib\core\models\growth_cycle.dart:107,unused_symbols,high,export missing
symbol,daysSinceStart,lib/core/models/growth_cycle.dart,112,12†lib\core\models\growth_cycle.dart:112,unused_symbols,high,export missing
symbol,progressPercentage,lib/core/models/growth_cycle.dart,117,12†lib\core\models\growth_cycle.dart:117,unused_symbols,high,export missing
symbol,updateStatus,lib/core/models/planting.dart,148,12†lib\core\models\planting.dart:148,unused_symbols,high,export missing
symbol,expectedDays,lib/core/models/planting.dart,204,12†lib\core\models\planting.dart:204,unused_symbols,high,export missing
