"id","commonName","metadataImage","exactFound","foundPath","fuzzyMatches","candidatesTried"
"shallot","Ã‰chalote",,"False","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Ail.png","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Ail.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Aneth.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Artichaut.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Asperge.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Aubergine.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Basilic.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Betterave.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Carotte.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Céleri branche.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou kale.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Coriandre.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Échalote.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Epinard.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Haricot.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Laitue.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Mache.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Maïs doux.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Navet.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Panais.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Poireau.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Radis noir.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Romarin.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Salsifis.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Scarole.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Tomate.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Topinambour.png","shallot.jpg; shallot.png; shallot.webp; shallot.jpeg; a_chalote.jpg; a_chalote.png; a_chalote.webp; a_chalote.jpeg"
"leek","Poireau",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Poireau.png","","leek.jpg; leek.png; leek.webp; leek.jpeg; poireau.jpg; poireau.png; poireau.webp; poireau.jpeg"
"carrot","Carotte",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Carotte.png","","carrot.jpg; carrot.png; carrot.webp; carrot.jpeg; carotte.jpg; carotte.png; carotte.webp; carotte.jpeg"
"black_radish","Radis Noir",,"False","C","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Radis noir.png","black_radish.jpg; black_radish.png; black_radish.webp; black_radish.jpeg; radis_noir.jpg; radis_noir.png; radis_noir.webp; radis_noir.jpeg"
"navet","Navet",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Navet.png","","navet.jpg; navet.png; navet.webp; navet.jpeg; navet.jpg; navet.png; navet.webp; navet.jpeg"
"beetroot","Betterave",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Betterave.png","","beetroot.jpg; beetroot.png; beetroot.webp; beetroot.jpeg; betterave.jpg; betterave.png; betterave.webp; betterave.jpeg"
"potato","Pomme de terre",,"False","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou de Bruxelles.png","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou de Bruxelles.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Pomme de terre.png","potato.jpg; potato.png; potato.webp; potato.jpeg; pomme_de_terre.jpg; pomme_de_terre.png; pomme_de_terre.webp; pomme_de_terre.jpeg"
"topinambour","Topinambour",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Topinambour.png","","topinambour.jpg; topinambour.png; topinambour.webp; topinambour.jpeg; topinambour.jpg; topinambour.png; topinambour.webp; topinambour.jpeg"
"parsnip","Panais",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Panais.png","","parsnip.jpg; parsnip.png; parsnip.webp; parsnip.jpeg; panais.jpg; panais.png; panais.webp; panais.jpeg"
"salsify","Salsifis",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Salsifis.png","","salsify.jpg; salsify.png; salsify.webp; salsify.jpeg; salsifis.jpg; salsifis.png; salsifis.webp; salsifis.jpeg"
"eggplant","Aubergine",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Aubergine.png","","eggplant.jpg; eggplant.png; eggplant.webp; eggplant.jpeg; aubergine.jpg; aubergine.png; aubergine.webp; aubergine.jpeg"
"pepper","Poivron / Piment",,"False","C","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Poivron.png","pepper.jpg; pepper.png; pepper.webp; pepper.jpeg; poivron_piment.jpg; poivron_piment.png; poivron_piment.webp; poivron_piment.jpeg"
"cucumber","Concombre",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Concombre.png","","cucumber.jpg; cucumber.png; cucumber.webp; cucumber.jpeg; concombre.jpg; concombre.png; concombre.webp; concombre.jpeg"
"courgette","Courgette",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Courgette.png","","courgette.jpg; courgette.png; courgette.webp; courgette.jpeg; courgette.jpg; courgette.png; courgette.webp; courgette.jpeg"
"melon","Melon",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Melon.png","","melon.jpg; melon.png; melon.webp; melon.jpeg; melon.jpg; melon.png; melon.webp; melon.jpeg"
"pumpkin_squash","Potiron / Courge",,"False","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Courgette.png","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Courgette.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Potiron.png","pumpkin_squash.jpg; pumpkin_squash.png; pumpkin_squash.webp; pumpkin_squash.jpeg; potiron_courge.jpg; potiron_courge.png; potiron_courge.webp; potiron_courge.jpeg"
"bean","Haricot",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Haricot.png","","bean.jpg; bean.png; bean.webp; bean.jpeg; haricot.jpg; haricot.png; haricot.webp; haricot.jpeg"
"sweet_corn","MaÃ¯s doux",,"False","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Asperge.png","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Asperge.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Basilic.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou de Bruxelles.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Maïs doux.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Panais.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Persil.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Radis noir.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Salsifis.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Scarole.png","sweet_corn.jpg; sweet_corn.png; sweet_corn.webp; sweet_corn.jpeg; maa_s_doux.jpg; maa_s_doux.png; maa_s_doux.webp; maa_s_doux.jpeg"
"parsley","Persil",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Persil.png","","parsley.jpg; parsley.png; parsley.webp; parsley.jpeg; persil.jpg; persil.png; persil.webp; persil.jpeg"
"basil","Basilic",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Basilic.png","","basil.jpg; basil.png; basil.webp; basil.jpeg; basilic.jpg; basilic.png; basilic.webp; basilic.jpeg"
"chives","Ciboulette",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Ciboulette.png","","chives.jpg; chives.png; chives.webp; chives.jpeg; ciboulette.jpg; ciboulette.png; ciboulette.webp; ciboulette.jpeg"
"coriander","Coriandre",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Coriandre.png","","coriander.jpg; coriander.png; coriander.webp; coriander.jpeg; coriandre.jpg; coriandre.png; coriandre.webp; coriandre.jpeg"
"dill","Aneth",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Aneth.png","","dill.jpg; dill.png; dill.webp; dill.jpeg; aneth.jpg; aneth.png; aneth.webp; aneth.jpeg"
"thyme","Thym",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Thym.png","","thyme.jpg; thyme.png; thyme.webp; thyme.jpeg; thym.jpg; thym.png; thym.webp; thym.jpeg"
"rosemary","Romarin",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Romarin.png","","rosemary.jpg; rosemary.png; rosemary.webp; rosemary.jpeg; romarin.jpg; romarin.png; romarin.webp; romarin.jpeg"
"artichoke","Artichaut",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Artichaut.png","","artichoke.jpg; artichoke.png; artichoke.webp; artichoke.jpeg; artichaut.jpg; artichaut.png; artichaut.webp; artichaut.jpeg"
"asparagus","Asperge",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Asperge.png","","asparagus.jpg; asparagus.png; asparagus.webp; asparagus.jpeg; asperge.jpg; asperge.png; asperge.webp; asperge.jpeg"
"cabbage","Chou pommÃ©",,"False","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou de Bruxelles.png","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou de Bruxelles.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou kale.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou pommé.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou-fleur.png","cabbage.jpg; cabbage.png; cabbage.webp; cabbage.jpeg; chou_pomma_.jpg; chou_pomma_.png; chou_pomma_.webp; chou_pomma_.jpeg"
"cauliflower","Chou-fleur",,"False","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou de Bruxelles.png","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou de Bruxelles.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou kale.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou pommé.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou-fleur.png","cauliflower.jpg; cauliflower.png; cauliflower.webp; cauliflower.jpeg; chou_fleur.jpg; chou_fleur.png; chou_fleur.webp; chou_fleur.jpeg"
"brussels_sprout","Chou de Bruxelles",,"False","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou de Bruxelles.png","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou de Bruxelles.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou kale.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou pommé.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou-fleur.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Pomme de terre.png","brussels_sprout.jpg; brussels_sprout.png; brussels_sprout.webp; brussels_sprout.jpeg; chou_de_bruxelles.jpg; chou_de_bruxelles.png; chou_de_bruxelles.webp; chou_de_bruxelles.jpeg"
"broccoli","Brocoli",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Brocoli.png","","broccoli.jpg; broccoli.png; broccoli.webp; broccoli.jpeg; brocoli.jpg; brocoli.png; brocoli.webp; brocoli.jpeg"
"kale","Chou kale",,"False","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou de Bruxelles.png","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou de Bruxelles.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou kale.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou pommé.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou-fleur.png","kale.jpg; kale.png; kale.webp; kale.jpeg; chou_kale.jpg; chou_kale.png; chou_kale.webp; chou_kale.jpeg"
"pakchoi","PetsaÃ¯ / PakchoÃ¯",,"False",,"","pakchoi.jpg; pakchoi.png; pakchoi.webp; pakchoi.jpeg; petsaa_pakchoa_.jpg; petsaa_pakchoa_.png; petsaa_pakchoa_.webp; petsaa_pakchoa_.jpeg"
